Round,Pick,Original Pick,Trade,New Pick,Trade,New Pick,,,,,,,
14,131,Colin,,,,Colin,,,,,,,
14,132,Stefan,,,,Stefan,,,,,,,
14,133,Witte,,,,Witte,,,,,,,
14,134,Joe,,,,Joe,,,,,,,
14,135,Elbe,,,,Elbe,,,,,,,
14,136,Kyle,,,,Kyle,,,,,,,
14,137,Josh,,,,Josh,,,,,,,
14,138,Scott,,,,Scott,,,,,,,
14,139,Greg,,,,Greg,,,,,,,
14,140,Zach,,,,Zach,,,,,,,
15,141,Colin,,,,Colin,,,,,,,
15,142,Stefan,,,,Stefan,,,,,,,
15,143,Witte,,,,Witte,,,,,,,
15,144,Joe,,,,Joe,,,,,,,
15,145,Elbe,,,,Elbe,,,,,,,
15,146,Kyle,,,,Kyle,,,,,,,
15,147,Josh,,,,Josh,,,,,,,
15,148,Scott,X,Greg,,Greg,,,,,,,
15,149,Greg,,,,Greg,,,,,,,
15,150,Zach,,,,Zach,,,,,,,
16,151,Colin,,,,Colin,,,,,,,
16,152,Stefan,,,,Stefan,,,,,,,
16,153,Witte,,,,Witte,,,,,,,
16,154,Joe,,,,Joe,,,,,,,
16,155,Elbe,,,,Elbe,,,,,,,
16,156,Kyle,,,,Kyle,,,,,,,
16,157,Josh,,,,Josh,,,,,,,
16,158,Scott,X,Greg,,Greg,,,,,,,
16,159,Greg,,,,Greg,,,,,,,
16,160,Zach,,,,Zach,,,,,,,
