Round,Pick,Player,Position,Team,League Member,Comments,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
5,41,Kyle Pitts,TE,ATL,Zach,"""He's going to find a way to fuck this up"" Elbe [collective disgust other than Merts]",,,,,,,,,,,,,,,
5,42,Zay Flowers,WR,BAL,Zach,[BREAK]; [Stefan talking shit to Scott about Tank Dell keeper comparing to Allen Robinson],,,,,,,,,,,,,,,
5,43,Kyler Murray,QB,ARI,Stefan,"""That little midget can't see"" Elbe ""Over Anthony Richardson?"" Colin…""He could be the league winner, honestly"" Colin",,,,,,,,,,,,,,,
5,44,Aaron Jones,RB,MIN,Zach,"""Man I almost puked after that last one"" Colin referring to fire ball. No response from group. ""Here comes another dumb ass pick from Zach, let's see who it is. Zamir White. Watch. Tee Higgins. Final Answer"" Colin; ""Jordan love off the board"" Joe; ""Rhamondre Stevenson would be wild"" [Takes Aaron Jones] ""That was the best pick he could have mad"" Colin ""He's going to trade all of these guys to us next year for more picks"" Kyle ""They're all toss ups. If I were him I wouldn't be happy with this draft....I'd take his draft"" Colin",,,,,,,,,,,,,,,
5,45,James Conner,RB,ARI,Elbe,"[Discussing Elbe as Offensive Coordinator]; ""The whiter the guy the bigger the penis"" Colin; [Collective disagreement]",,,,,,,,,,,,,,,
5,46,Isaiah Pacheco,RB,KC,Witte,"""You guys want to eat some mushrooms? I brought 50 pills"" Colin",,,,,,,,,,,,,,,
5,47,Mike Evans,WR,TB,Joe,,,,,,,,,,,,,,,,
5,48,Terry McLaurin,WR,WAS,Scott,[,,,,,,,,,,,,,,,
5,49,Tee Higgins,WR,CIN,Greg,,,,,,,,,,,,,,,,
5,50,Javonte Williams,RB,DEN,Stefan,"[Stefan takes forever]; ""That's a good pick"" Kyle ""Side Bet: Rhomndre ends the season with more fantasy points than Javonte Williams"" Colin to Stefan; Accepted $25; Colin says I would take Javonte stoo",,,,,,,,,,,,,,,
6,51,DJ Moore,WR,CHI,Stefan,"[Complaints about draft board] ""Then you host the draft party, bro!"" Stefan; ""Then you make the pizza rolls, bro"" Greg, mocking Stef",,,,,,,,,,,,,,,
6,52,Garrett Wilson,WR,NJY,Zach,,,,,,,,,,,,,,,,
6,53,Christian Kirk,WR,JAX,Scott,"[coughing] ""Was that cookies?"" Stefan ""JUNGLE COOKIES"" Joe",,,,,,,,,,,,,,,
6,54,David Montgomery,RB,DET,Joe,"""Is Kenny Titty fuckin walkers still out there?"" Joe; ""That's a pretty solid pick, Joe"" Stefan ""You;ve come a long way"" Stefan to Joe",,,,,,,,,,,,,,,
6,55,Evan Engram,TE,JAX,Witte,"""Fuck I don't get to pick this round. I even said 20 minutes ago to remind myself. The keepers are good, but they always end up pissing me off"" Kyle; ""This is George Pickens"" Stefan about Wittes pick; ""He's going to take Swift"" Kyle about Wittes pick",,,,,,,,,,,,,,,
6,56,Zamir White,RB,LAV,Elbe,"[Colin wants everyone to retire at 50]; ""Elbe, its been a while you should know"" Colin; Elbe: ""That's probably right, but I'm not"" Joe; ",,,,,,,,,,,,,,,
