Round,Pick,Player,Position,Team,League Member,Pick,Round
12,115,Noah Fant, TE,DEN,Witte,115,12
12,116,James Conner,RB,PIT,Sefan,116,12
12,117,Boston Scott, RB,PHI,Elbe,117,12
12,118,Jalen Reagor, WR,PHI,Scott,118,12
12,119,Hunter Renfrow, WR, LV,Joe,119,12
12,120,Kyler Murray,QB,ARI,Zach,120,12
13,121,49ers,DEF,SF,Zach,121,13
13,122,Ravens,DEF,BAL,Joe,122,13
13,123,George Kittle,TE,SF,Scott,123,13
13,124,Justin Jefferson, WR,MIN,Elbe,124,13
13,125,Brian Edwards, WR, LV,Stefan,125,13
13,126,PITTSBURGH STEELERS DEFENSE,DEF,PIT,Witte,126,13
13,127,CHIGAGO BEARS DEF,DEF,CHI,Merts,127,13
13,128,MINNESOTA VIKINGS DEF,DEF,MIN,Josh,128,13
13,129,Jared Cook, TE, NO,Greg,129,13
13,130,Tevin Coleman, RB, SF,Colin,130,13
14,131,Hunter Henry, TE,LAC,Colin,131,14
14,132,Tony Pollard, RB,DAL,Greg,132,14
14,133,Sammy Watkins, WR, KC,Josh,133,14
14,134,T.J. Hockenson, TE,DET,Merts,134,14
14,135,Patrick Mahomes,QB,KC,Witte,135,14
14,136,Hayden Hurst, TE,ATL,Sefan,136,14
14,137,Damien Harris, RB, NE,Elbe,137,14
14,138,Ryquell Armstead, RB,JAX,Scott,138,14
14,139,Austin Hooper, TE,CLE,Joe,139,14
14,140,Chris Thompson, RB,JAX,Zach,140,14
15,141,Tee Higgins, WR,CIN,Zach,141,15
15,142,Baker Mayfield, QB,CLE,Joe,142,15
15,143,NEW ENGLAND PATRIOTS DEF,DEF,NE,Scott,143,15
15,144,Justin Jackson, RB,LAC,Elbe,144,15
15,145,Cam Newton, QB, NE,Stefan,145,15
15,146,Parris Campell, WR,IND,Witte,146,15
15,147,Carson Wentz, QB,PHI,Merts,147,15
15,148,Joe Burrow, QB,CIN,Josh,148,15
15,149,Drew Brees, WR, NO,Greg,149,15
15,150,Tom Brady, QB, TB,Colin,150,15
16,151,Saints,DEF,NO,Colin,151,16
16,152,Antonio Brown,WR,TB,Greg,152,16
16,153,Alshon Jefferey,WR,PHI,Josh,153,16
16,154,Jared Goff, QB,LAR,Merts,154,16
16,155,Chris Herndon, TE,NYJ,Witte,155,16
16,156,SEATTLE SEAHAWKS DEF,DEF,SEA,Sefan,156,16
16,157,KANSAS CITY CHIEFS DEF,DEF,KC,Elbe,157,16
16,158,Benny Snell Jr, RB,PIT,Scott,158,16
16,159,Steven Sims, WR,WAS,Joe,159,16
16,160,Keshawn Baum ?,RB,KC,Zach,160,16
